;detector;XCoords;YCoords;shift
0;8;-42.1;-41.8;-18.60194312617853
1;8;-41.25252525252525;-41.8;-18.57718593413629
2;8;-40.405050505050504;-41.8;-18.53184179084806
3;8;-39.55757575757576;-41.8;-18.46183167891061
4;8;-38.71010101010101;-41.8;-18.36879039465436
5;8;-37.862626262626264;-41.8;-18.25284217903336
6;8;-37.015151515151516;-41.8;-18.114144857353214
7;8;-36.16767676767677;-41.8;-17.952889916230184
8;8;-35.32020202020202;-41.8;-17.767938628051287
9;8;-34.472727272727276;-41.8;-17.563205701419857
10;8;-33.62525252525253;-41.8;-17.33532331948281
11;8;-32.77777777777778;-41.8;-17.085973951786162
12;8;-31.93030303030303;-41.8;-16.815509994994752
13;8;-31.082828282828284;-41.8;-16.524317572633176
14;8;-30.235353535353536;-41.8;-16.21281629031031
15;8;-29.38787878787879;-41.8;-15.880047654791252
16;8;-28.54040404040404;-41.8;-15.53028072372353
17;8;-27.692929292929293;-41.8;-15.160246676504963
18;8;-26.845454545454547;-41.8;-14.771897087237305
19;8;-25.9979797979798;-41.8;-14.365802852811179
20;8;-25.150505050505053;-41.8;-13.942564308185041
21;8;-24.303030303030305;-41.8;-13.502809941161743
22;8;-23.455555555555556;-41.8;-13.046141857698485
23;8;-22.60808080808081;-41.8;-12.576066018738912
24;8;-21.76060606060606;-41.8;-12.090463050121866
25;8;-20.913131313131313;-41.8;-11.591105002939207
26;8;-20.065656565656568;-41.8;-11.078730390197885
27;8;-19.21818181818182;-41.8;-10.55409501445398
28;8;-18.37070707070707;-41.8;-10.017969602228126
29;8;-17.523232323232325;-41.8;-9.470188381342087
30;8;-16.675757575757576;-41.8;-8.914092458560095
31;8;-15.82828282828283;-41.8;-8.347940169306051
32;8;-14.980808080808082;-41.8;-7.773480492403055
33;8;-14.133333333333333;-41.8;-7.191515968328716
34;8;-13.285858585858588;-41.8;-6.602849060416573
35;8;-12.438383838383839;-41.8;-6.008279609728624
36;8;-11.590909090909093;-41.8;-5.407987657601491
37;8;-10.743434343434345;-41.8;-4.804413974426145
38;8;-9.895959595959596;-41.8;-4.196692495203099
39;8;-9.048484848484847;-41.8;-3.58620074799721
40;8;-8.201010101010105;-41.8;-2.9736883377739898
41;8;-7.3535353535353565;-41.8;-2.3598899014203982
42;8;-6.506060606060608;-41.8;-1.7455235389458237
43;8;-5.658585858585859;-41.8;-1.1308761105691734
44;8;-4.81111111111111;-41.8;-0.5177431000417252
45;8;-3.963636363636361;-41.8;0.09431703819921376
46;8;-3.1161616161616195;-41.8;0.7042526162721482
47;8;-2.2686868686868706;-41.8;1.3114461693691815
48;8;-1.4212121212121218;-41.8;1.9153015340736217
49;8;-0.573737373737373;-41.8;2.51524408342191
50;8;0.27373737373737583;-41.8;3.110799429941403
51;8;1.1212121212121176;-41.8;3.7012185221537743
52;8;1.9686868686868664;-41.8;4.286195284425442
53;8;2.816161616161615;-41.8;4.86516185355301
54;8;3.663636363636364;-41.8;5.437649098718665
55;8;4.511111111111113;-41.8;6.0032075193856835
56;8;5.358585858585862;-41.8;6.56140671371131
57;8;6.206060606060603;-41.8;7.111575911406301
58;8;7.053535353535352;-41.8;7.654008352616475
59;8;7.901010101010101;-41.8;8.187625748903555
60;8;8.74848484848485;-41.8;8.712324946628454
61;8;9.595959595959599;-41.8;9.227759528894286
62;8;10.44343434343434;-41.8;9.733598147958242
63;8;11.29090909090909;-41.8;10.229523997216214
64;8;12.138383838383838;-41.8;10.714620314347712
65;8;12.985858585858587;-41.8;11.190237474572815
66;8;13.833333333333336;-41.8;11.654445341320436
67;8;14.680808080808077;-41.8;12.107590581205418
68;8;15.528282828282826;-41.8;12.549417967349322
69;8;16.375757575757575;-41.8;12.979684123276133
70;8;17.223232323232324;-41.8;13.398157301107434
71;8;18.070707070707073;-41.8;13.803750273822518
72;8;18.918181818181814;-41.8;14.198572227652116
73;8;19.765656565656563;-41.8;14.580093124688831
74;8;20.613131313131312;-41.8;14.948987360734202
75;8;21.46060606060606;-41.8;15.305073022479409
76;8;22.30808080808081;-41.8;15.648178725875036
77;8;23.15555555555556;-41.8;15.978143536822266
78;8;24.003030303030307;-41.8;16.29368976679689
79;8;24.850505050505056;-41.8;16.59769364389375
80;8;25.69797979797979;-41.8;16.88699540578945
81;8;26.54545454545454;-41.8;17.16259485490506
82;8;27.39292929292929;-41.8;17.42437436192551
83;8;28.240404040404037;-41.8;17.672225847504556
84;8;29.087878787878786;-41.8;17.90605062682157
85;8;29.935353535353535;-41.8;18.124404385897098
86;8;30.782828282828284;-41.8;18.33083442150577
87;8;31.630303030303033;-41.8;18.52162907375572
88;8;32.47777777777778;-41.8;18.698071572219863
89;8;33.32525252525253;-41.8;18.860098552612378
90;8;34.17272727272728;-41.8;19.007654697685485
91;8;35.020202020202014;-41.8;19.14069253031436
92;8;35.86767676767676;-41.8;19.257473537816846
93;8;36.71515151515151;-41.8;19.36251516728859
94;8;37.56262626262626;-41.8;19.45122992540312
95;8;38.41010101010101;-41.8;19.52528762299961
96;8;39.25757575757576;-41.8;19.58466628917651
97;8;40.10505050505051;-41.8;19.629350735237786
98;8;40.952525252525255;-41.8;19.659332475844014
99;8;41.8;-41.8;19.672811005334253
100;8;-42.1;-40.95353535353535;-18.60333268409045
101;8;-41.25252525252525;-40.95353535353535;-18.578573240298184
102;8;-40.405050505050504;-40.95353535353535;-18.53322472717034
103;8;-39.55757575757576;-40.95353535353535;-18.463208026616407
104;8;-38.71010101010101;-40.95353535353535;-18.37015801343602
105;8;-37.862626262626264;-40.95353535353535;-18.254198972008094
106;8;-37.015151515151516;-40.95353535353535;-18.115488781519147
107;8;-36.16767676767677;-40.95353535353535;-17.954218992615477
108;8;-35.32020202020202;-40.95353535353535;-17.76925075944406
109;8;-34.472727272727276;-40.95353535353535;-17.56449938838616
110;8;-33.62525252525253;-40.95353535353535;-17.336596639013816
111;8;-32.77777777777778;-40.95353535353535;-17.08722527202154
112;8;-31.93030303030303;-40.95353535353535;-16.81673779085899
113;8;-31.082828282828284;-40.95353535353535;-16.525520432845685
114;8;-30.235353535353536;-40.95353535353535;-16.21399292366427
115;8;-29.38787878787879;-40.95353535353535;-15.881196997257577
116;8;-28.54040404040404;-40.95353535353535;-15.531401569700446
117;8;-27.692929292929293;-40.95353535353535;-15.161338227723093
118;8;-26.845454545454547;-40.95353535353535;-14.77295858150939
119;8;-25.9979797979798;-40.95353535353535;-14.366833667628885
120;8;-25.150505050505053;-40.95353535353535;-13.943563961752208
121;8;-24.303030303030305;-40.95353535353535;-13.503778092453453
122;8;-23.455555555555556;-40.95353535353535;-13.04707825835443
123;8;-22.60808080808081;-40.95353535353535;-12.576970685046026
124;8;-21.76060606060606;-40.95353535353535;-12.091336007037112
125;8;-20.913131313131313;-40.95353535353535;-11.59194645352023
126;8;-20.065656565656568;-40.95353535353535;-11.079540663654667
127;8;-19.21818181818182;-40.95353535353535;-10.554874560483064
128;8;-18.37070707070707;-40.95353535353535;-10.01871898449455
129;8;-17.523232323232325;-40.95353535353535;-9.470908288320063
130;8;-16.675757575757576;-40.95353535353535;-8.914783629055382
131;8;-15.82828282828283;-40.95353535353535;-8.348603481142334
132;8;-14.980808080808082;-40.95353535353535;-7.774116886021414
133;8;-14.133333333333333;-40.95353535353535;-7.192126455207538
134;8;-13.285858585858588;-40.95353535353535;-6.603434712946208
135;8;-12.438383838383839;-40.95353535353535;-6.008841550794376
136;8;-11.590909090909093;-40.95353535353535;-5.408527036350669
137;8;-10.743434343434345;-40.95353535353535;-4.804932005937414
138;8;-9.895959595959596;-40.95353535353535;-4.197190376698943
139;8;-9.048484848484847;-40.95353535353535;-3.5866796982015345
140;8;-8.201010101010105;-40.95353535353535;-2.9741495729773533
141;8;-7.3535353535353565;-40.95353535353535;-2.360334625494375
142;8;-6.506060606060608;-40.95353535353535;-1.74595293377387
143;8;-5.658585858585859;-40.95353535353535;-1.1312913304992158
144;8;-4.81111111111111;-40.95353535353535;-0.5181452506387032
145;8;-3.963636363636361;-40.95353535353535;0.09392688912373838
146;8;-3.1161616161616195;-40.95353535353535;0.7038734588615673
147;8;-2.2686868686868706;-40.95353535353535;1.3110770545071944
